"timestamp","rate"
1162944000000,3.733
1163721600000,3.745
1164672000000,3.728
1165449600000,3.746
1166400000000,3.798
1167177600000,3.835
1168214400000,3.874
1168992000000,3.883
1169769600000,3.916
1170720000000,3.913
1171497600000,3.946
1172448000000,3.972
1173225600000,3.96
1174003200000,4.004
1174953600000,4.025
1175731200000,4.071
1176681600000,4.101
1177459200000,4.115
1178236800000,4.154
1179187200000,4.18
1179964800000,4.228
1180915200000,4.259
1181692800000,4.284
1182470400000,4.298
1183420800000,4.321
1184198400000,4.356
1185148800000,4.369
1185926400000,4.371
1186704000000,4.516
1187654400000,4.67
1188432000000,4.738
1189382400000,4.753
1190160000000,4.73
1190937600000,4.759
1191888000000,4.716
1192665600000,4.652
1193616000000,4.598
1194393600000,4.597
1195171200000,4.592
1196121600000,4.693
1196899200000,4.8
1197849600000,4.917
1198800000000,4.709
1199836800000,4.641
1200614400000,4.424
1201564800000,4.395
1202342400000,4.348
1203292800000,4.355
1204070400000,4.39
1204848000000,4.494
1205798400000,4.65
1206576000000,4.731
1207526400000,4.747
1208304000000,4.776
1209081600000,4.881
1210118400000,4.879
1210896000000,4.9
1211846400000,4.922
1212624000000,4.938
1213574400000,5.126
1214352000000,5.125
1215129600000,5.144
1216080000000,5.14
1216857600000,5.155
1217808000000,5.163
1218585600000,5.156
1219363200000,5.162
1220313600000,5.164
1221091200000,5.179
1222041600000,5.242
1222819200000,5.405
1223596800000,5.431
1224547200000,5.03
1225324800000,4.848
1226275200000,4.475
1227052800000,4.17
1227830400000,3.897
1228780800000,3.514
1229558400000,3.202
1230681600000,2.971
1231718400000,2.716
1232496000000,2.39
1233273600000,2.176
1234224000000,2.069
1235001600000,1.982
1235952000000,1.919
1236729600000,1.8
1237507200000,1.723
1238457600000,1.67
1239235200000,1.618
1240358400000,1.6
1241395200000,1.553
1242172800000,1.479
1242950400000,1.457
1243900800000,1.461
1244678400000,1.484
1245628800000,1.428
1246406400000,1.303
1247184000000,1.236
1248134400000,1.188
1248912000000,1.149
1249862400000,1.133
1250640000000,1.111
1251417600000,1.088
1252368000000,1.055
1253145600000,1.039
1254096000000,1.018
1254873600000,1.01
1255651200000,1.022
1256601600000,1.013
1257379200000,1
1258329600000,0.988
1259107200000,0.993
1259884800000,0.996
1260835200000,0.998
1261612800000,0.991
1262736000000,0.992
1263513600000,0.977
1264464000000,0.964
1265241600000,0.967
1266192000000,0.963
1266969600000,0.963
1267747200000,0.956
1268697600000,0.955
1269475200000,0.946
1270425600000,0.945
1271203200000,0.954
1271980800000,0.957
1272931200000,0.974
1273708800000,0.976
1274659200000,0.987
1275436800000,0.994
1276214400000,1.003
1277164800000,1.021
1277942400000,1.056
1278892800000,1.086
1279670400000,1.13
1280448000000,1.145
1281398400000,1.156
1282176000000,1.148
1283126400000,1.137
1283904000000,1.134
1284681600000,1.141
1285632000000,1.141
1286409600000,1.197
1287360000000,1.223
1288137600000,1.265
1288915200000,1.273
1289865600000,1.275
1290643200000,1.262
1291593600000,1.256
1292371200000,1.254
1293148800000,1.243
1294099200000,1.224
1294876800000,1.229
1295827200000,1.277
1296604800000,1.333
1297382400000,1.355
1298332800000,1.36
1299110400000,1.385
1300060800000,1.487
1300838400000,1.501
1301616000000,1.556
1302566400000,1.621
1303344000000,1.655
1304467200000,1.7
1305244800000,1.703
1306195200000,1.716
1306972800000,1.714
1307923200000,1.739
1308700800000,1.772
1309478400000,1.797
1310428800000,1.818
1311206400000,1.817
1312156800000,1.82
1312934400000,1.741
1313712000000,1.73
1314662400000,1.747
1315440000000,1.732
1316390400000,1.735
1317168000000,1.746
1317945600000,1.765
1318896000000,1.78
1319673600000,1.788
1320624000000,1.695
1321401600000,1.686
1322179200000,1.705
1323129600000,1.705
1323907200000,1.667
1324857600000,1.658
1325635200000,1.586
1326412800000,1.514
1327363200000,1.451
1328140800000,1.401
1329091200000,1.359
1329868800000,1.315
1330646400000,1.254
1331596800000,1.183
1332374400000,1.12
1333324800000,1.072
1334275200000,1.048
1335225600000,1.024
1336089600000,0.985
1337040000000,0.975
1337817600000,0.96
1338768000000,0.941
1339545600000,0.939
1340323200000,0.928
1341273600000,0.926
1342051200000,0.779
1343001600000,0.726
1343779200000,0.664
1344556800000,0.631
1345507200000,0.591
1346284800000,0.544
1347235200000,0.509
1348012800000,0.472
1348790400000,0.437
1349740800000,0.421
1350518400000,0.406
1351468800000,0.394
1352246400000,0.375
1353024000000,0.356
1353974400000,0.348
1354752000000,0.339
1355702400000,0.317
1356480000000,0.319
1357516800000,0.325
1358294400000,0.34
1359072000000,0.356
1360022400000,0.38
1360800000000,0.367
1361750400000,0.343
1362528000000,0.321
1363305600000,0.326
1364256000000,0.337
1365120000000,0.326
1366070400000,0.326
1366848000000,0.318
1367798400000,0.302
1368576000000,0.303
1369353600000,0.294
1370304000000,0.3
1371081600000,0.32
1372032000000,0.341
1372809600000,0.342
1373587200000,0.331
1374537600000,0.34
1375315200000,0.34
1376265600000,0.341
1377043200000,0.341
1377820800000,0.343
1378771200000,0.343
1379548800000,0.337
1380499200000,0.34
1381276800000,0.341
1382054400000,0.339
1383004800000,0.348
1383782400000,0.341
1384732800000,0.319
1385510400000,0.327
1386288000000,0.345
1387238400000,0.393
1388361600000,0.389
1389225600000,0.388
1390176000000,0.408
1390953600000,0.402
1391731200000,0.391
1392681600000,0.386
1393459200000,0.384
1394409600000,0.408
1395187200000,0.414
1395964800000,0.414
1396915200000,0.426
1397692800000,0.426
1398816000000,0.438
1399852800000,0.43
1400630400000,0.407
1401408000000,0.397
1402358400000,0.353
1403136000000,0.306
1404086400000,0.303
1404864000000,0.304
1405641600000,0.303
1406592000000,0.306
1407369600000,0.304
1408320000000,0.297
1409097600000,0.269
1409875200000,0.203
1410825600000,0.187
1411603200000,0.183
1412553600000,0.179
1413331200000,0.181
1414108800000,0.188
1415059200000,0.186
1415836800000,0.178
1416787200000,0.182
1417564800000,0.176
1418342400000,0.178
1419292800000,0.174
1420502400000,0.168
1421280000000,0.161
1422230400000,0.138
1423008000000,0.132
1423785600000,0.127
1424736000000,0.119
1425513600000,0.108
1426464000000,0.096
1427241600000,0.088
1428364800000,0.085
